,NIP,Cluster,Cluster2,X_abscisse
264,N201800012,0,0,0.16863406408094436
106,N201203100,0,0,0.3372681281618887
60,N200802092,0,0,0.5059021922428331
131,N201307669,0,0,0.6745362563237775
238,N201704974,0,0,0.8431703204047218
74,N200904151,0,0,1.0118043844856661
234,N201704212,0,0,1.1804384485666104
177,N201506765,0,0,1.3490725126475547
191,N201601947,0,0,1.517706576728499
220,N201701652,0,0,1.6863406408094432
227,N201702935,0,0,1.8549747048903875
30,N200000791,0,0,2.023608768971332
47,N200600841,0,0,2.1922428330522763
117,N201303568,0,0,2.360876897133221
125,N201305357,0,0,2.5295109612141653
251,N201706288,0,0,2.69814502529511
210,N201605830,0,0,2.8667790893760543
259,N201707096,0,0,3.035413153456999
196,N201602884,0,0,3.2040472175379433
147,N201403762,0,0,3.372681281618888
76,N200904623,0,0,3.5413153456998323
148,N201403835,0,0,3.709949409780777
233,N201704012,0,0,3.8785834738617213
200,N201604050,0,0,4.047217537942665
141,N201402594,0,0,4.215851602023609
120,N201304664,0,0,4.3844856661045535
89,N201102217,0,0,4.5531197301854975
208,N201605504,0,0,4.721753794266442
255,N201706598,0,0,4.890387858347386
78,N200905507,0,0,5.05902192242833
236,N201704399,0,0,5.227655986509274
29,N200000372,0,0,5.396290050590218
244,N201705694,0,0,5.564924114671162
25,N199900994,0,0,5.733558178752106
41,N200400662,0,0,5.90219224283305
105,N201202930,0,0,6.070826306913994
146,N201403736,0,0,6.239460370994938
161,N201502685,0,0,6.408094435075882
205,N201604744,0,0,6.576728499156826
5,N198600899,0,0,6.74536256323777
46,N200600743,0,0,6.913996627318714
62,N200802194,0,0,7.082630691399658
70,N200900380,0,0,7.2512647554806025
34,N200201832,0,0,7.4198988195615465
42,N200500254,0,0,7.588532883642491
248,N201706065,0,0,7.757166947723435
92,N201104285,0,0,7.925801011804379
7,N198704237,0,0,8.094435075885324
127,N201305679,0,0,8.263069139966268
277,N201801031,0,0,8.431703204047212
169,N201504281,0,0,8.600337268128156
279,N201801154,0,0,8.7689713322091
26,N199901170,0,0,8.937605396290044
273,N201800768,0,0,9.106239460370988
283,N201801356,0,0,9.274873524451932
289,N201801517,0,0,9.443507588532876
118,N201304212,0,0,9.61214165261382
104,N201202658,0,0,9.780775716694764
293,N201801710,0,0,9.949409780775708
164,N201503063,0,0,10.118043844856652
128,N201305765,0,0,10.286677908937596
133,N201400750,0,0,10.45531197301854
193,N201602241,0,0,10.623946037099484
27,N199904079,0,0,10.792580101180429
38,N200302575,0,0,10.961214165261373
108,N201203646,0,0,11.129848229342317
195,N201602880,0,0,11.29848229342326
159,N201502656,0,0,11.467116357504205
114,N201205940,0,0,11.635750421585149
274,N201800808,0,0,11.804384485666093
137,N201401275,0,0,11.973018549747037
130,N201306481,0,0,12.141652613827981
203,N201604425,0,0,12.310286677908925
231,N201703896,0,0,12.47892074198987
235,N201704292,0,0,12.647554806070813
310,N201802143,0,0,12.816188870151757
19,N199701151,0,0,12.984822934232701
256,N201706823,0,0,13.153456998313645
304,N201801958,0,0,13.32209106239459
292,N201801668,0,0,13.490725126475533
201,N201604116,0,0,13.659359190556478
160,N201502664,0,0,13.827993254637422
316,N201802363,0,0,13.996627318718366
184,N201600746,0,0,14.16526138279931
48,N200601293,0,0,14.333895446880254
287,N201801476,0,0,14.502529510961198
271,N201800626,0,0,14.671163575042142
63,N200802253,0,0,14.839797639123086
318,N201802424,0,0,15.00843170320403
174,N201505841,0,0,15.177065767284974
98,N201200769,0,0,15.345699831365918
209,N201605563,0,0,15.514333895446862
308,N201802083,0,0,15.682967959527806
33,N200201750,0,0,15.85160202360875
254,N201706511,0,0,16.020236087689696
132,N201400337,0,0,16.18887015177064
239,N201705029,0,0,16.357504215851584
327,N201802676,0,0,16.52613827993253
317,N201802410,0,0,16.694772344013472
153,N201500553,0,0,16.863406408094416
297,N201801798,0,0,17.03204047217536
182,N201600522,0,0,17.200674536256304
80,N201000969,0,0,17.36930860033725
286,N201801472,0,0,17.537942664418193
151,N201405759,0,0,17.706576728499137
100,N201201591,0,0,17.87521079258008
112,N201205073,0,0,18.043844856661025
136,N201401267,0,0,18.21247892074197
261,N201707219,0,0,18.381112984822913
309,N201802127,0,0,18.549747048903857
285,N201801450,0,0,18.7183811129848
213,N201606455,0,0,18.887015177065745
246,N201706024,0,0,19.05564924114669
299,N201801854,0,0,19.224283305227633
58,N200706622,0,0,19.392917369308577
15,N199301601,0,0,19.56155143338952
275,N201800865,0,0,19.730185497470465
294,N201801734,0,0,19.89881956155141
347,N201803415,0,0,20.067453625632353
198,N201603181,0,0,20.236087689713298
331,N201802777,0,0,20.40472175379424
122,N201304833,0,0,20.573355817875186
319,N201802506,0,0,20.74198988195613
326,N201802653,0,0,20.910623946037074
344,N201803283,0,0,21.079258010118018
145,N201403231,0,0,21.247892074198962
288,N201801509,0,0,21.416526138279906
341,N201803187,0,0,21.58516020236085
83,N201005274,0,0,21.753794266441794
179,N201506900,0,0,21.922428330522738
364,N201803763,0,0,22.091062394603682
342,N201803204,0,0,22.259696458684626
369,N201803804,0,0,22.42833052276557
167,N201503922,0,0,22.596964586846514
215,N201700487,0,0,22.76559865092746
250,N201706142,0,0,22.934232715008402
307,N201802002,0,0,23.102866779089346
349,N201803420,0,0,23.27150084317029
36,N200301671,0,0,23.440134907251235
306,N201801987,0,0,23.60876897133218
358,N201803635,0,0,23.777403035413123
305,N201801960,0,0,23.946037099494067
298,N201801840,0,0,24.11467116357501
335,N201802929,0,0,24.283305227655955
91,N201102487,0,0,24.4519392917369
12,N199106382,0,0,24.620573355817843
334,N201802894,0,0,24.789207419898787
119,N201304295,0,0,24.95784148397973
152,N201407093,0,0,25.126475548060675
322,N201802532,0,0,25.29510961214162
165,N201503259,0,0,25.463743676222563
138,N201402294,0,0,25.632377740303507
53,N200701843,0,0,25.80101180438445
353,N201803465,0,0,25.969645868465395
158,N201502590,0,0,26.13827993254634
116,N201206459,0,0,26.306913996627284
113,N201205149,0,0,26.475548060708228
95,N201106594,0,0,26.64418212478917
194,N201602601,0,0,26.812816188870116
363,N201803721,0,0,26.98145025295106
357,N201803632,0,0,27.150084317032004
351,N201803450,0,0,27.318718381112948
380,N201804215,0,0,27.487352445193892
52,N200701005,0,0,27.655986509274836
219,N201701530,0,0,27.82462057335578
333,N201802863,0,0,27.993254637436724
328,N201802694,0,0,28.161888701517668
338,N201803028,0,0,28.330522765598612
343,N201803255,0,0,28.499156829679556
207,N201605319,0,0,28.6677908937605
68,N200806496,0,0,28.836424957841444
348,N201803419,0,0,29.00505902192239
43,N200501731,0,0,29.173693086003333
361,N201803679,0,0,29.342327150084277
56,N200702938,0,0,29.51096121416522
199,N201603355,0,0,29.679595278246165
14,N199301061,0,0,29.84822934232711
163,N201503003,0,0,30.016863406408053
150,N201404118,0,0,30.185497470488997
257,N201706982,0,0,30.35413153456994
134,N201400893,0,0,30.522765598650885
258,N201706998,0,0,30.69139966273183
228,N201703472,0,0,30.860033726812773
180,N201507075,0,0,31.028667790893717
51,N200604577,0,0,31.19730185497466
88,N201101562,0,0,31.365935919055605
295,N201801746,0,0,31.53456998313655
32,N200200738,0,0,31.703204047217493
383,N201804317,0,1,31.871838111298437
378,N201804153,0,1,32.040472175379385
370,N201803826,0,1,32.20910623946033
381,N201804221,0,1,32.37774030354128
393,N201804570,0,1,32.54637436762223
410,N201804955,0,1,32.715008431703176
384,N201804329,0,1,32.88364249578412
429,N201805251,0,1,33.05227655986507
436,N201805313,0,1,33.22091062394602
206,N201604865,0,1,33.389544688026966
457,N201805782,0,1,33.558178752107914
469,N201805966,0,1,33.72681281618886
23,N199704298,0,1,33.89544688026981
406,N201804767,0,1,34.064080944350756
376,N201804104,0,1,34.232715008431704
212,N201606342,0,1,34.40134907251265
3,N198510292,0,1,34.5699831365936
0,N198300511,0,1,34.73861720067455
400,N201804681,0,1,34.907251264755494
418,N201805117,0,1,35.07588532883644
377,N201804119,0,1,35.24451939291739
464,N201805928,0,1,35.41315345699834
446,N201805561,0,1,35.581787521079285
438,N201805357,0,1,35.75042158516023
531,N201806643,0,1,35.91905564924118
214,N201700156,0,1,36.08768971332213
553,N201807038,0,1,36.256323777403075
485,N201806254,0,1,36.42495784148402
563,N201807197,0,1,36.59359190556497
10,N198902913,0,1,36.76222596964592
564,N201807215,0,1,36.930860033726866
181,N201600360,0,1,37.09949409780781
514,N201806512,0,1,37.26812816188876
39,N200303315,0,1,37.43676222596971
253,N201706490,0,1,37.605396290050656
536,N201806718,0,1,37.774030354131604
569,N201807350,0,1,37.94266441821255
185,N201600921,0,1,38.1112984822935
20,N199702270,0,1,38.27993254637445
79,N200905749,0,1,38.448566610455394
222,N201702085,0,1,38.61720067453634
103,N201202367,0,1,38.78583473861729
111,N201204874,0,1,38.95446880269824
368,N201803799,0,1,39.123102866779185
592,N201900017,0,1,39.29173693086013
529,N201806627,0,1,39.46037099494108
94,N201105723,0,1,39.62900505902203
412,N201804973,0,1,39.797639123102975
560,N201807157,0,1,39.96627318718392
28,N200000242,0,1,40.13490725126487
242,N201705187,0,1,40.30354131534582
557,N201807068,0,1,40.472175379426766
392,N201804566,0,1,40.64080944350771
455,N201805750,0,1,40.80944350758866
22,N199703916,0,1,40.97807757166961
75,N200904254,0,1,41.146711635750556
84,N201006229,0,1,41.315345699831504
57,N200705092,0,1,41.48397976391245
525,N201806591,0,1,41.6526138279934
547,N201806931,0,1,41.82124789207435
397,N201804637,0,1,41.989881956155294
498,N201806418,0,1,42.15851602023624
555,N201807061,0,1,42.32715008431719
71,N200903189,0,1,42.49578414839814
99,N201201037,0,1,42.664418212479085
574,N201807436,0,1,42.83305227656003
93,N201105263,0,1,43.00168634064098
586,N201900011,0,1,43.17032040472193
421,N201805133,0,1,43.338954468802875
561,N201807177,0,1,43.50758853288382
460,N201805831,0,1,43.67622259696477
577,N201900002,0,1,43.84485666104572
408,N201804914,0,1,44.013490725126665
443,N201805486,0,1,44.18212478920761
65,N200803270,0,1,44.35075885328856
413,N201805059,0,1,44.51939291736951
492,N201806335,0,1,44.688026981450456
183,N201600638,0,1,44.8566610455314
162,N201502877,0,1,45.02529510961235
175,N201506332,0,1,45.1939291736933
156,N201501780,0,1,45.362563237774246
44,N200503450,0,1,45.531197301855194
374,N201803999,0,1,45.69983136593614
40,N200303693,0,1,45.86846543001709
197,N201602984,0,1,46.03709949409804
190,N201601545,0,1,46.205733558178984
398,N201804656,0,1,46.37436762225993
506,N201806478,0,1,46.54300168634088
402,N201804723,0,1,46.71163575042183
166,N201503772,0,1,46.880269814502775
490,N201806295,0,1,47.04890387858372
64,N200802981,0,1,47.21753794266467
21,N199702998,0,1,47.38617200674562
13,N199202365,0,1,47.554806070826565
588,N201900013,0,1,47.72344013490751
468,N201805962,0,1,47.89207419898846
6,N198702410,0,1,48.06070826306941
4,N198600228,0,1,48.229342327150356
55,N200702163,0,1,48.3979763912313
18,N199501223,0,1,48.56661045531225
16,N199402447,0,1,48.7352445193932
59,N200801968,0,1,48.903878583474146
375,N201804085,0,2,49.072512647555094
518,N201806561,0,2,49.24114671163604
66,N200804605,0,2,49.40978077571699
218,N201701045,0,2,49.57841483979794
107,N201203378,0,2,49.747048903878884
544,N201806883,0,2,49.91568296795983
420,N201805132,0,2,50.08431703204078
2,N198502208,0,2,50.25295109612173
409,N201804923,0,2,50.421585160202675
135,N201401154,0,2,50.59021922428362
50,N200603450,0,2,50.75885328836457
77,N200904972,0,2,50.92748735244552
126,N201305580,0,2,51.096121416526465
416,N201805109,0,2,51.26475548060741
466,N201805934,0,2,51.43338954468836
570,N201807368,0,2,51.60202360876931
568,N201807316,0,2,51.770657672850255
123,N201304875,0,2,51.9392917369312
434,N201805301,0,2,52.10792580101215
37,N200302052,0,2,52.2765598650931
550,N201807023,0,2,52.445193929174046
109,N201203856,0,2,52.61382799325499
373,N201803976,0,2,52.78246205733594
537,N201806731,0,2,52.95109612141689
589,N201900014,0,2,53.119730185497836
495,N201806365,0,2,53.288364249578784
432,N201805284,0,2,53.45699831365973
11,N199006074,0,2,53.62563237774068
115,N201206329,0,2,53.79426644182163
442,N201805471,0,2,53.962900505902574
139,N201402450,0,2,54.13153456998352
67,N200805703,0,2,54.30016863406447
72,N200903854,0,2,54.46880269814542
450,N201805647,0,2,54.637436762226365
476,N201806114,0,2,54.80607082630731
487,N201806271,0,2,54.97470489038826
496,N201806370,0,2,55.14333895446921
535,N201806717,0,2,55.311973018550155
517,N201806548,0,2,55.4806070826311
583,N201900008,0,2,55.64924114671205
493,N201806343,0,2,55.817875210793
157,N201501838,0,2,55.986509274873946
226,N201702758,0,2,56.15514333895489
516,N201806528,0,2,56.32377740303584
101,N201201727,0,2,56.49241146711679
549,N201806946,0,2,56.661045531197736
558,N201807105,0,2,56.829679595278684
567,N201807295,0,2,56.99831365935963
551,N201807030,0,2,57.16694772344058
61,N200802103,0,2,57.33558178752153
575,N201807452,0,2,57.504215851602474
582,N201900007,0,2,57.67284991568342
31,N200102831,0,2,57.84148397976437
85,N201006713,0,2,58.01011804384532
576,N201900001,0,2,58.178752107926265
578,N201900003,0,2,58.34738617200721
580,N201900005,0,2,58.51602023608816
584,N201900009,0,2,58.68465430016911
585,N201900010,0,2,58.853288364250055
587,N201900012,0,2,59.021922428331
202,N201604178,0,3,59.19055649241195
176,N201506622,0,3,59.3591905564929
211,N201606340,0,3,59.527824620573845
140,N201402464,0,3,59.69645868465479
155,N201500989,0,3,59.86509274873574
149,N201403980,0,3,60.03372681281669
223,N201702120,0,3,60.202360876897636
110,N201204512,0,3,60.37099494097858
82,N201004076,0,3,60.53962900505953
142,N201402747,0,3,60.70826306914048
216,N201700726,0,3,60.876897133221426
90,N201102366,0,3,61.045531197302374
272,N201800742,0,3,61.21416526138332
268,N201800152,0,3,61.38279932546427
187,N201601477,0,3,61.55143338954522
204,N201604693,0,3,61.720067453626164
260,N201707102,0,3,61.88870151770711
262,N201707224,0,3,62.05733558178806
1,N198412339,0,3,62.22596964586901
124,N201305180,0,3,62.394603709949955
245,N201705921,0,3,62.5632377740309
247,N201706031,0,3,62.73187183811185
329,N201802708,0,3,62.9005059021928
86,N201006915,0,3,63.069139966273745
345,N201803298,0,3,63.23777403035469
224,N201702618,0,3,63.40640809443564
24,N199804148,0,3,63.57504215851659
281,N201801309,0,3,63.743676222597536
237,N201704685,0,3,63.91231028667848
188,N201601495,0,3,64.08094435075942
9,N198902201,0,3,64.24957841484037
186,N201601079,0,3,64.41821247892132
313,N201802258,0,3,64.58684654300227
230,N201703729,0,3,64.75548060708321
296,N201801774,0,3,64.92411467116416
172,N201504734,0,3,65.09274873524511
291,N201801651,0,3,65.26138279932606
354,N201803500,0,3,65.430016863407
96,N201106775,0,3,65.59865092748795
144,N201403201,0,3,65.7672849915689
217,N201700901,0,3,65.93591905564985
241,N201705133,0,3,66.1045531197308
267,N201800109,0,3,66.27318718381174
263,N201707227,0,3,66.44182124789269
35,N200204146,0,3,66.61045531197364
69,N200900366,0,3,66.77908937605459
97,N201106871,0,3,66.94772344013553
171,N201504689,0,3,67.11635750421648
266,N201800055,0,3,67.28499156829743
336,N201802938,0,3,67.45362563237838
280,N201801296,0,3,67.62225969645932
240,N201705121,0,3,67.79089376054027
282,N201801322,0,3,67.95952782462122
154,N201500660,0,3,68.12816188870217
49,N200601652,0,3,68.29679595278311
252,N201706483,0,3,68.46543001686406
102,N201201829,0,3,68.63406408094501
269,N201800199,0,3,68.80269814502596
332,N201802856,0,3,68.9713322091069
339,N201803073,0,3,69.13996627318785
121,N201304742,0,3,69.3086003372688
321,N201802529,0,3,69.47723440134975
337,N201802947,0,3,69.6458684654307
129,N201306207,0,3,69.81450252951164
8,N198706532,0,3,69.98313659359259
81,N201003278,0,3,70.15177065767354
225,N201702654,0,3,70.32040472175449
232,N201703918,0,3,70.48903878583543
168,N201503990,0,3,70.65767284991638
87,N201006939,0,3,70.82630691399733
170,N201504323,0,3,70.99494097807828
54,N200701980,0,3,71.16357504215922
265,N201800053,0,3,71.33220910624017
189,N201601533,0,3,71.50084317032112
17,N199500115,0,3,71.66947723440207
278,N201801047,0,3,71.83811129848301
143,N201402874,0,3,72.00674536256396
340,N201803145,0,3,72.17537942664491
45,N200504430,0,3,72.34401349072586
229,N201703570,0,3,72.5126475548068
192,N201602132,0,3,72.68128161888775
243,N201705512,0,3,72.8499156829687
73,N200903897,0,3,73.01854974704965
366,N201803775,0,3,73.1871838111306
352,N201803452,0,3,73.35581787521154
303,N201801956,0,3,73.52445193929249
314,N201802263,0,3,73.69308600337344
365,N201803770,0,3,73.86172006745439
324,N201802598,0,3,74.03035413153533
315,N201802324,0,3,74.19898819561628
249,N201706141,0,3,74.36762225969723
173,N201505285,0,3,74.53625632377818
221,N201702058,0,3,74.70489038785912
178,N201506798,0,3,74.87352445194007
323,N201802542,0,3,75.04215851602102
325,N201802626,0,3,75.21079258010197
346,N201803347,0,3,75.37942664418291
350,N201803436,0,3,75.54806070826386
284,N201801449,1,0,75.71669477234481
312,N201802212,1,0,75.88532883642576
367,N201803788,1,0,76.0539629005067
371,N201803896,1,0,76.22259696458765
330,N201802729,1,0,76.3912310286686
356,N201803567,1,0,76.55986509274955
449,N201805591,1,1,76.7284991568305
477,N201806116,1,1,76.89713322091144
533,N201806682,1,1,77.06576728499239
520,N201806567,1,1,77.23440134907334
543,N201806854,1,1,77.40303541315429
407,N201804871,1,1,77.57166947723523
497,N201806407,1,1,77.74030354131618
482,N201806193,1,1,77.90893760539713
572,N201807410,1,1,78.07757166947808
552,N201807036,1,1,78.24620573355902
500,N201806425,1,1,78.41483979763997
486,N201806256,1,1,78.58347386172092
510,N201806491,1,1,78.75210792580187
488,N201806283,1,1,78.92074198988281
534,N201806690,1,1,79.08937605396376
523,N201806586,1,1,79.25801011804471
591,N201900016,1,1,79.42664418212566
503,N201806442,1,1,79.5952782462066
481,N201806183,1,1,79.76391231028755
423,N201805169,1,1,79.9325463743685
404,N201804739,1,1,80.10118043844945
405,N201804761,1,1,80.2698145025304
382,N201804229,1,1,80.43844856661134
532,N201806679,1,1,80.60708263069229
499,N201806419,1,1,80.77571669477324
478,N201806148,1,1,80.94435075885418
458,N201805787,1,1,81.11298482293513
448,N201805589,1,1,81.28161888701608
509,N201806488,1,1,81.45025295109703
541,N201806798,1,1,81.61888701517798
512,N201806500,1,1,81.78752107925892
521,N201806569,1,1,81.95615514333987
556,N201807064,1,1,82.12478920742082
480,N201806174,1,1,82.29342327150177
546,N201806908,1,1,82.46205733558271
501,N201806433,1,1,82.63069139966366
540,N201806789,1,1,82.79932546374461
388,N201804400,1,2,82.96795952782556
430,N201805263,1,2,83.1365935919065
515,N201806524,1,2,83.30522765598745
554,N201807048,1,2,83.4738617200684
526,N201806595,1,2,83.64249578414935
494,N201806345,1,2,83.8111298482303
528,N201806606,1,2,83.97976391231124
424,N201805195,1,2,84.14839797639219
579,N201900004,1,2,84.31703204047314
386,N201804388,1,2,84.48566610455408
403,N201804738,1,2,84.65430016863503
467,N201805939,1,2,84.82293423271598
519,N201806566,1,2,84.99156829679693
479,N201806159,1,2,85.16020236087788
522,N201806582,1,2,85.32883642495882
473,N201806047,1,2,85.49747048903977
491,N201806314,1,2,85.66610455312072
571,N201807376,1,2,85.83473861720167
538,N201806746,1,2,86.00337268128261
508,N201806486,1,2,86.17200674536356
270,N201800517,1,3,86.34064080944451
359,N201803645,1,3,86.50927487352546
311,N201802158,2,0,86.6779089376064
362,N201803684,2,0,86.84654300168735
355,N201803561,2,0,87.0151770657683
360,N201803672,2,0,87.18381112984925
379,N201804171,2,1,87.3524451939302
401,N201804697,2,1,87.52107925801114
385,N201804362,2,1,87.68971332209209
419,N201805127,2,1,87.85834738617304
396,N201804632,2,1,88.02698145025398
389,N201804401,2,1,88.19561551433493
435,N201805304,2,1,88.36424957841588
372,N201803904,2,1,88.53288364249683
394,N201804586,2,1,88.70151770657777
411,N201804956,2,1,88.87015177065872
440,N201805448,2,1,89.03878583473967
474,N201806067,2,1,89.20741989882062
542,N201806805,2,1,89.37605396290157
559,N201807130,2,1,89.54468802698251
390,N201804420,2,2,89.71332209106346
302,N201801916,3,0,89.88195615514441
290,N201801535,3,0,90.05059021922536
301,N201801868,3,0,90.2192242833063
300,N201801864,3,0,90.38785834738725
320,N201802518,3,0,90.5564924114682
395,N201804618,3,1,90.72512647554915
417,N201805111,3,1,90.8937605396301
415,N201805100,3,1,91.06239460371104
428,N201805250,3,1,91.23102866779199
425,N201805196,3,1,91.39966273187294
391,N201804565,3,1,91.56829679595388
463,N201805900,3,1,91.73693086003483
427,N201805242,3,1,91.90556492411578
484,N201806241,3,1,92.07419898819673
452,N201805724,3,1,92.24283305227767
475,N201806070,3,1,92.41146711635862
513,N201806507,3,1,92.58010118043957
489,N201806287,3,1,92.74873524452052
524,N201806589,3,1,92.91736930860147
444,N201805499,3,1,93.08600337268241
502,N201806441,3,1,93.25463743676336
504,N201806459,3,1,93.42327150084431
527,N201806601,3,1,93.59190556492526
431,N201805272,3,1,93.7605396290062
414,N201805065,3,1,93.92917369308715
566,N201807288,3,1,94.0978077571681
471,N201805992,3,1,94.26644182124905
441,N201805463,3,1,94.43507588533
387,N201804398,3,1,94.60370994941094
590,N201900015,3,1,94.77234401349189
562,N201807179,3,1,94.94097807757284
454,N201805746,3,1,95.10961214165378
437,N201805343,3,1,95.27824620573473
456,N201805760,3,1,95.44688026981568
472,N201806034,3,1,95.61551433389663
465,N201805931,3,1,95.78414839797757
445,N201805502,3,1,95.95278246205852
453,N201805745,3,1,96.12141652613947
581,N201900006,3,1,96.29005059022042
426,N201805209,3,1,96.45868465430136
451,N201805723,3,1,96.62731871838231
565,N201807220,3,1,96.79595278246326
573,N201807435,3,1,96.96458684654421
461,N201805880,3,1,97.13322091062516
507,N201806479,3,1,97.3018549747061
483,N201806197,3,1,97.47048903878705
511,N201806496,3,1,97.639123102868
422,N201805166,3,1,97.80775716694895
439,N201805364,3,1,97.9763912310299
459,N201805789,3,1,98.14502529511084
447,N201805579,3,1,98.31365935919179
548,N201806940,3,1,98.48229342327274
530,N201806628,3,1,98.65092748735368
539,N201806753,3,1,98.81956155143463
433,N201805285,3,2,98.98819561551558
462,N201805884,3,2,99.15682967959653
505,N201806465,3,2,99.32546374367747
470,N201805973,3,2,99.49409780775842
399,N201804663,3,2,99.66273187183937
545,N201806902,3,2,99.83136593592032
276,N201800916,3,3,100.00000000000126
